,2019-09-28,2018-09-29,2017-09-30,2016-09-24,2015-09-26,2014-09-27,2013-09-28,2012-09-29,2011-09-24,2010-09-25,2009-09-26,2008-09-27,2007-09-29,2006-09-30,2005-09-24,2004-09-25,2003-09-27,2002-09-28,2001-09-29
symbol,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
fillingDate,2019-10-31,2018-11-05,2017-11-03,2016-10-26,2015-10-28,2014-10-27,2013-10-30,2012-10-31,2011-10-26,2010-10-27,2009-10-27,2008-11-05,2007-11-15,2006-12-29,2005-12-01,2004-12-03,2003-12-19,2002-12-19,2001-12-21
acceptedDate,2019-10-30 18:12:36,2018-11-05 08:01:40,2017-11-03 08:01:37,2016-10-26 16:42:16,2015-10-28 16:31:09,2014-10-27 17:11:55,2013-10-29 20:38:28,2012-10-31 17:07:19,2011-10-26 16:35:25,2010-10-27 16:36:21,2009-10-27 16:18:29,2008-11-05 06:16:23,2007-11-15 16:49:37,2006-12-29 06:05:58,2005-11-30 21:22:48,2004-12-02 18:05:49,2003-12-19 17:25:45,2002-12-19 17:20:21,2001-12-21 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
netIncome,55256000000,59531000000,48351000000,45687000000,53394000000,39510000000,37037000000,41733000000,25922000000,14013000000,5704000000,4834000000,3496000000,1989000000,1335000000,276000000,69000000,65000000,-25000000
depreciationAndAmortization,12547000000,10903000000,10157000000,10505000000,11257000000,7946000000,6757000000,3277000000,1814000000,1027000000,703000000,473000000,317000000,225000000,179000000,150000000,113000000,118000000,102000000
deferredIncomeTax,340000000,32590000000,-5966000000,-4938000000,-1382000000,-2347000000,-1141000000,-4405000000,-2868000000,-1440000000,-519000000,-368000000,78000000,53000000,52000000,20000000,-11000000,-34000000,-36000000
stockBasedCompensation,6068000000.0,5340000000.0,4840000000.0,4210000000.0,3586000000.0,2863000000.0,2253000000.0,1740000000.0,1168000000.0,879000000.0,710000000.0,516000000.0,242000000.0,163000000.0,42000000.0,33000000.0,16000000.0,0.0,0.0
changeInWorkingCapital,42628000000.0,-13358000000.0,-32000000.0,19095000000.0,3685000000.0,-24545000000.0,10517000000.0,2093000000.0,-3938000000.0,3973000000.0,-3615000000.0,7941000000.0,4619000000.0,1222000000.0,2441000000.0,845000000.0,-200000000.0,105000000.0,0.0
accountsReceivables,245000000.0,-5322000000.0,-2093000000.0,1095000000.0,611000000.0,-4232000000.0,-2172000000.0,-5551000000.0,143000000.0,-2142000000.0,-939000000.0,-785000000.0,-385000000.0,-357000000.0,-121000000.0,-8000000.0,-201000000.0,-99000000.0,487000000.0
inventory,-289000000,828000000,-2723000000,217000000,-238000000,-76000000,-973000000,-15000000,275000000,-596000000,54000000,-163000000,-76000000,-105000000,-64000000,-45000000,-11000000,-34000000,22000000
accountsPayables,-1923000000,9175000000,9618000000,1791000000,5400000000,5938000000,2340000000,4467000000,2515000000,6307000000,92000000,596000000,1494000000,1611000000,328000000,297000000,243000000,110000000,-356000000
otherWorkingCapital,57101000000,14473000000,27831000000,27863000000,8768000000,5083000000,29628000000,19111000000,17018000000,20956000000,16983000000,20598000000,12657000000,8038000000,6816000000,4375000000,3530000000,3730000000,3625000000
otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
netCashProvidedByOperatingActivities,69391000000,77434000000,63598000000,65824000000,81266000000,59713000000,53666000000,50856000000,37529000000,18595000000,10159000000,9596000000,5470000000,2220000000,2535000000,934000000,289000000,89000000,185000000
investmentsInPropertyPlantAndEquipment,-10495000000,-13313000000,-12451000000,-12734000000,-11247000000,-9571000000,-8165000000,-8295000000,-4260000000,-2005000000,-1144000000,-1091000000,-735000000,-657000000,-260000000,-176000000,-164000000,-174000000,-232000000
acquisitionsNet,-624000000.0,-721000000.0,-329000000.0,-297000000.0,-343000000.0,-3765000000.0,-496000000.0,-350000000.0,-244000000.0,-638000000.0,0.0,-220000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purchasesOfInvestments,-107528000000,-74609000000,-33295000000,-31110000000,-35253000000,-45000000000,-22860000000,-151232000000,-102317000000,-57811000000,-46724000000,-22965000000,-11719000000,-7255000000,-11470000000,-3270000000,-2648000000,-4144000000,-4268000000
salesMaturitiesOfInvestments,98724000000.0,56234000000.0,31775000000.0,21258000000.0,14538000000.0,18810000000.0,20317000000.0,13035000000.0,20437000000.0,46718000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otherInvestingActivites,65819000000.0,48475000000.0,-32146000000.0,-23094000000.0,-23969000000.0,16947000000.0,-22570000000.0,-52617000000.0,-56352000000.0,-118000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
netCashUsedForInvestingActivites,45896000000,16066000000,-46446000000,-45977000000,-56274000000,-22579000000,-33774000000,-48227000000,-40419000000,-13854000000,-17434000000,-8189000000,-3249000000,357000000,-2556000000,-1488000000,828000000,-252000000,892000000
debtRepayment,-8805000000,-6500000000,-3500000000,-2500000000,-1499000000,-1158000000,-1082000000,-1226000000,-520000000,-406000000,2997000000,1267000000,863000000,194000000,17000000,-300000000,45000000,11000000,42000000
commonStockIssued,781000000,669000000,555000000,495000000,543000000,730000000,530000000,665000000,831000000,912000000,475000000,483000000,365000000,318000000,543000000,427000000,53000000,105000000,42000000
commonStockRepurchased,-66897000000.0,-72738000000.0,-32900000000.0,-29722000000.0,-35253000000.0,-45000000000.0,-22860000000.0,-10746000000.0,-9815000000.0,-11261000000.0,0.0,0.0,-3000000.0,-355000000.0,0.0,0.0,-26000000.0,0.0,0.0
dividendsPaid,-14119000000.0,-13712000000.0,-12769000000.0,-12150000000.0,-11561000000.0,-11126000000.0,-10564000000.0,-2488000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otherFinancingActivites,-1936000000.0,4405000000.0,31267000000.0,23394000000.0,28555000000.0,17847000000.0,16515000000.0,10871000000.0,10428000000.0,11606000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
