,2019-09-28,2018-09-29,2017-09-30,2016-09-24,2015-09-26,2014-09-27,2013-09-28,2012-09-29,2011-09-24,2010-09-25,2009-09-26,2008-09-27,2007-09-29,2006-09-30,2005-09-24,2004-09-25,2003-09-27,2002-09-28,2001-09-29
symbol,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
fillingDate,2019-10-31,2018-11-05,2017-11-03,2016-10-26,2015-10-28,2014-10-27,2013-10-30,2012-10-31,2011-10-26,2010-10-27,2009-10-27,2008-11-05,2007-11-15,2006-12-29,2005-12-01,2004-12-03,2003-12-19,2002-12-19,2001-12-21
acceptedDate,2019-10-30 18:12:36,2018-11-05 08:01:40,2017-11-03 08:01:37,2016-10-26 16:42:16,2015-10-28 16:31:09,2014-10-27 17:11:55,2013-10-29 20:38:28,2012-10-31 17:07:19,2011-10-26 16:35:25,2010-10-27 16:36:21,2009-10-27 16:18:29,2008-11-05 06:16:23,2007-11-15 16:49:37,2006-12-29 06:05:58,2005-11-30 21:22:48,2004-12-02 18:05:49,2003-12-19 17:25:45,2002-12-19 17:20:21,2001-12-21 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenue,260174000000,265595000000,229234000000,215639000000,233715000000,182795000000,170910000000,156508000000,108249000000,65225000000,36537000000,32479000000,24006000000,13931000000,13931000000,8279000000,6207000000,5742000000,5363000000
costOfRevenue,161782000000,163756000000,141048000000,131376000000,140089000000,112258000000,106606000000,87846000000,64431000000,39541000000,23397000000,21334000000,15852000000,9888000000,9888000000,6020000000,4499000000,4139000000,4128000000
grossProfit,98392000000,101839000000,88186000000,84263000000,93626000000,70537000000,64304000000,68662000000,43818000000,25684000000,13140000000,11145000000,8154000000,4043000000,4043000000,2259000000,1708000000,1603000000,1235000000
grossProfitRatio,0.37817768109,0.3834371882,0.384698604919,0.390759556481,0.400599020174,0.385880357778,0.376244807208,0.438712398088,0.404788958789,0.393775392871,0.3596354380491009,0.3431448012561963,0.33966508372906773,0.29021606489124974,0.29021606489124974,0.2728590409469743,0.2751731915579185,0.2791710205503309,0.2302815588290136
researchAndDevelopmentExpenses,16217000000,14236000000,11581000000,10045000000,8067000000,6041000000,4475000000,3381000000,2429000000,1782000000,1333000000,1109000000,782000000,534000000,534000000,489000000,471000000,446000000,430000000
generalAndAdministrativeExpenses,18245000000,16705000000,15261000000,14194000000,14329000000,11993000000,10830000000,10040000000,7599000000,5517000000,4149000000,3761000000,2963000000,1859000000,1859000000,1421000000,1212000000,1111000000,1138000000
sellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otherExpenses,1807000000.0,0.0,2745000000.0,1348000000.0,1285000000.0,980000000.0,1156000000.0,522000000.0,415000000.0,155000000.0,326000000.0,620000000.0,599000000.0,165000000.0,165000000.0,23000000.0,26000000.0,29000000.0,11000000.0
operatingExpenses,34462000000,30941000000,26842000000,24239000000,22396000000,18034000000,15305000000,13421000000,10028000000,7299000000,5482000000,4870000000,3745000000,2393000000,2393000000,1933000000,1709000000,1586000000,1579000000
costAndExpenses,196244000000,194697000000,167890000000,155615000000,162485000000,130292000000,121911000000,101267000000,74459000000,46840000000,28879000000,26204000000,19597000000,12281000000,12281000000,7953000000,6208000000,5725000000,5707000000
interestExpense,3576000000.0,3240000000.0,2323000000.0,1456000000.0,733000000.0,384000000.0,136000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depreciationAndAmortization,12547000000,10903000000,10157000000,10505000000,11257000000,7946000000,6757000000,3277000000,1814000000,1027000000,703000000,473000000,317000000,225000000,179000000,150000000,113000000,118000000,102000000
ebitda,76477000000,81801000000,71501000000,70529000000,82487000000,60449000000,55756000000,58518000000,35604000000,19412000000,8361000000,6748000000,4726000000,1875000000,1829000000,476000000,112000000,135000000,-242000000
ebitdaratio,0.293945590259,0.307991490804,0.311912718009,0.327069778658,0.35293840789,0.330692852649,0.326230179627,0.37389781992,0.328908350193,0.297615944806,0.2288365218819279,0.2077650173958558,0.1968674498042156,0.134591917306726,0.13128992893546768,0.057494866529774126,0.018044143708715966,0.023510971786833857,-0.04512399776244639
operatingIncome,63930000000.0,70898000000.0,61344000000.0,60024000000.0,71230000000.0,52503000000.0,48999000000.0,55241000000.0,33790000000.0,18385000000.0,7658000000.0,6275000000.0,4409000000.0,1650000000.0,1650000000.0,326000000.0,-1000000.0,17000000.0,-344000000.0
operatingIncomeRatio,0.245720171885,0.266940266195,0.267604282087,0.278354101067,0.304772907173,0.287223392325,0.286694751624,0.35295959312,0.312150689614,0.281870448448,0.2095957522511427,0.19320176113796608,0.1836624177289011,0.11844088722991888,0.11844088722991888,0.03937673632081169,-0.00016110842597067828,0.0029606408916753742,-0.06414320343091554
totalOtherIncomeExpensesNet,1807000000,2005000000,2745000000,1348000000,1285000000,980000000,1156000000,522000000,415000000,155000000,326000000,620000000,599000000,165000000,165000000,53000000,83000000,112000000,217000000
incomeBeforeTax,65737000000,72903000000,64089000000,61372000000,72515000000,53483000000,50155000000,55763000000,34205000000,18540000000,7984000000,6895000000,5008000000,1815000000,1815000000,383000000,92000000,87000000,-52000000
incomeBeforeTaxRatio,0.252665523842,0.274489354092,0.279578945532,0.284605289396,0.310271056629,0.292584589294,0.293458545433,0.356294885884,0.315984443274,0.284246837869,0.21851821441278704,0.21229101881215554,0.20861451303840706,0.13028497595291078,0.13028497595291078,0.04626162580021742,0.014821975189302401,0.015151515151515152,-0.009696065634905836
incomeTaxExpense,10481000000,13372000000,15738000000,15685000000,19121000000,13973000000,13118000000,14030000000,8283000000,4527000000,2280000000,2061000000,1512000000,480000000,480000000,107000000,24000000,22000000,15000000
netIncome,55256000000,59531000000,48351000000,45687000000,53394000000,39510000000,37037000000,41733000000,25922000000,14013000000,5704000000,4834000000,3496000000,1335000000,1335000000,276000000,69000000,65000000,25000000
