,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
symbol,FB,FB,FB,FB,FB,FB,FB,FB
fillingDate,2020-01-30,2019-01-31,2018-02-01,2017-02-03,2016-01-28,2015-01-29,2014-01-31,2013-02-01
acceptedDate,2020-01-29 21:12:14,2019-01-31 16:58:29,2018-02-01 16:58:26,2017-02-02 21:13:52,2016-01-28 16:17:07,2015-01-29 16:35:58,2014-01-31 16:10:34,2013-02-01 16:43:01
period,FY,FY,FY,FY,FY,FY,FY,FY
cashAndCashEquivalents,19079000000,10019000000,8079000000,8903000000,4907000000,4315000000,3323000000,2384000000
shortTermInvestments,35776000000,31095000000,33632000000,20546000000,13527000000,6884000000,8126000000,7242000000
cashAndShortTermInvestments,54855000000,41114000000,41711000000,29449000000,18434000000,11199000000,11449000000,9626000000
netReceivables,9518000000,7587000000,5832000000,3993000000,2559000000,1678000000,1109000000,719000000
inventory,0,0,0,0,0,0,0,0
otherCurrentAssets,1852000000,1779000000,1020000000,959000000,659000000,793000000,512000000,922000000
totalCurrentAssets,66225000000,50480000000,48563000000,34401000000,21652000000,13670000000,13070000000,11267000000
propertyPlantEquipmentNet,9460000000,24683000000,13721000000,8591000000,5687000000,3967000000,2882000000,2391000000
goodwill,18715000000,18301000000,18221000000,18122000000,18026000000,17981000000,0,0
intangibleAssets,894000000,1294000000,1884000000,2535000000,3246000000,3929000000,0,0
goodwillAndIntangibleAssets,19609000000,19595000000,20105000000,20657000000,21272000000,21910000000,1722000000,1388000000
longTermInvestments,35776000000,31095000000,33632000000,20546000000,13527000000,6884000000,8126000000,7242000000
taxAssets,0,0,0,0,0,0,51000000,451000000
otherNonCurrentAssets,38082000000,2576000000,2135000000,1312000000,796000000,637000000,170000000,-394000000
totalNonCurrentAssets,67151000000,46854000000,35961000000,30560000000,27755000000,26514000000,4825000000,3836000000
otherAssets,0,0,0,0,0,0,0,0
totalAssets,133376000000,97334000000,84524000000,64961000000,49407000000,40184000000,17895000000,15103000000
accountPayables,1363000000,820000000,380000000,302000000,196000000,176000000,87000000,65000000
shortTermDebt,800000000,0,0,0,7000000,114000000,239000000,365000000
taxPayables,0,0,0,0,0,0,0,0
deferredRevenue,269000000,147000000,98000000,90000000,56000000,66000000,38000000,30000000
otherCurrentLiabilities,12621000000,6050000000,3282000000,2483000000,1666000000,1068000000,736000000,592000000
totalCurrentLiabilities,15053000000,7017000000,3760000000,2875000000,1925000000,1424000000,1100000000,1052000000
longTermDebt,9524000000,5509000000,2892000000,2203000000,107000000,119000000,555000000,1500000000
deferredRevenueNonCurrent,0,0,0,0,0,0,0,0
deferredTaxLiabilitiesNonCurrent,0,0,0,0,107000000,119000000,237000000,491000000
otherNonCurrentLiabilities,7745000000,6190000000,6417000000,2892000000,3157000000,2545000000,1088000000,305000000
totalNonCurrentLiabilities,17269000000,6190000000,6417000000,2892000000,3371000000,2783000000,1325000000,2296000000
otherLiabilities,0,0,0,0,0,0,0,0
totalLiabilities,32322000000,13207000000,10177000000,5767000000,5189000000,4088000000,2425000000,3348000000
commonStock,0,0,0,0,0,0,0,0
retainedEarnings,55692000000,41981000000,33990000000,21670000000,9787000000,6099000000,3159000000,1659000000
accumulatedOtherComprehensiveIncomeLoss,-489000000,-760000000,-227000000,-703000000,-455000000,-228000000,14000000,2000000
othertotalStockholdersEquity,45851000000,42906000000,40584000000,38227000000,34886000000,30225000000,12297000000,10094000000
totalStockholdersEquity,101054000000,84127000000,74347000000,59194000000,44218000000,36096000000,15470000000,11755000000
totalLiabilitiesAndStockholdersEquity,133376000000,97334000000,84524000000,64961000000,49407000000,40184000000,17895000000,15103000000
totalInvestments,35776000000,31095000000,33632000000,20546000000,13527000000,6884000000,8126000000,7242000000
totalDebt,10324000000,5509000000,2892000000,2203000000,114000000,233000000,239000000,1865000000
netDebt,-8755000000,-10019000000,-8079000000,-8903000000,-4793000000,-4082000000,-3084000000,-519000000
link,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/0001326801-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/0001326801-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/0001326801-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/0001326801-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/0001326801-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/0001326801-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/0001326801-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/0001326801-13-000003-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/fb-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/fb-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/fb-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/fb-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/fb-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/fb-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/fb-12312012x10k.htm
