,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
symbol,FB,FB,FB,FB,FB,FB,FB,FB
fillingDate,2020-01-30,2019-01-31,2018-02-01,2017-02-03,2016-01-28,2015-01-29,2014-01-31,2013-02-01
acceptedDate,2020-01-29 21:12:14,2019-01-31 16:58:29,2018-02-01 16:58:26,2017-02-02 21:13:52,2016-01-28 16:17:07,2015-01-29 16:35:58,2014-01-31 16:10:34,2013-02-01 16:43:01
period,FY,FY,FY,FY,FY,FY,FY,FY
netIncome,18485000000,22112000000,15934000000,10217000000,3688000000,2940000000,1500000000,53000000
depreciationAndAmortization,5741000000,4315000000,3025000000,2342000000,1945000000,1243000000,1011000000,649000000
deferredIncomeTax,37000000,-286000000,377000000,457000000,795000000,210000000,37000000,-186000000
stockBasedCompensation,4836000000,4152000000,3723000000,3218000000,2960000000,1786000000,906000000,1572000000
changeInWorkingCapital,7709000000,-1340000000,13277000000,11799000000,7481000000,276000000,1755000000,0
accountsReceivables,-1961000000,-1892000000,-1609000000,-1489000000,-973000000,-610000000,-378000000,-170000000
inventory,0,0,0,0,0,0,0,0
accountsPayables,113000000,221000000,43000000,14000000,18000000,31000000,26000000,1000000
otherWorkingCapital,51172000000,43463000000,44803000000,31526000000,19727000000,12246000000,11970000000,10215000000
otherNonCashItems,0,0,0,0,0,0,0,0
netCashProvidedByOperatingActivities,36314000000,29274000000,24216000000,16108000000,8599000000,5457000000,4222000000,1612000000
investmentsInPropertyPlantAndEquipment,-15102000000,-13915000000,-6733000000,-4491000000,-2523000000,-1831000000,-1362000000,-1235000000
acquisitionsNet,-508000000,-137000000,-122000000,-123000000,-313000000,-4975000000,-368000000,-911000000
purchasesOfInvestments,-28112000000,-27535000000,-27658000000,-22341000000,-15938000000,-9104000000,-7433000000,-10309000000
salesMaturitiesOfInvestments,19717000000,17130000000,2988000000,1261000000,2310000000,1909000000,3563000000,3333000000
otherInvestingActivites,3633000000,12717000000,11365000000,13832000000,6717000000,3113000000,2616000000,1187000000
netCashUsedForInvestingActivites,-19864000000,-11603000000,-20038000000,-11739000000,-9434000000,-5913000000,-2616000000,-7024000000
debtRepayment,-2337000000,-3208000000,-3246000000,-312000000,-20000000,-73000000,-1500000000,-2862000000
commonStockIssued,0,0,0,0,0,0,1478000000,6760000000
commonStockRepurchased,-4202000000,-12879000000,-1976000000,-8903000000,-4907000000,-4315000000,-3323000000,-2384000000
dividendsPaid,0,0,0,0,0,0,0,0
otherFinancingActivites,-3097000000,-2693000000,-3259000000,8593000000,6489000000,5886000000,2678000000,1907000000
netCashUsedProvidedByFinancingActivities,-7299000000,-15572000000,-5235000000,-310000000,1582000000,1571000000,-667000000,6283000000
effectOfForexChangesOnCash,4000000,-179000000,233000000,-63000000,-155000000,-123000000,8000000,1000000
netChangeInCash,19079000000,10019000000,-824000000,3996000000,592000000,992000000,939000000,872000000
cashAtEndOfPeriod,19079000000,10019000000,8079000000,8903000000,4907000000,4315000000,3323000000,2384000000
cashAtBeginningOfPeriod,10124000000,8204000000,8903000000,4907000000,4315000000,3323000000,2384000000,1512000000
operatingCashFlow,36314000000,29274000000,24216000000,16108000000,8599000000,5457000000,4222000000,1612000000
capitalExpenditure,15102000000,13915000000,6733000000,4491000000,2523000000,1831000000,1362000000,1235000000
freeCashFlow,21212000000,15359000000,17483000000,11617000000,6076000000,3626000000,2860000000,377000000
link,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/0001326801-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/0001326801-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/0001326801-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/0001326801-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/0001326801-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/0001326801-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/0001326801-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/0001326801-13-000003-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/fb-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/fb-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/fb-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/fb-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/fb-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/fb-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/fb-12312012x10k.htm
