,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
symbol,FB,FB,FB,FB,FB,FB,FB,FB
fillingDate,2020-01-30,2019-01-31,2018-02-01,2017-02-03,2016-01-28,2015-01-29,2014-01-31,2013-02-01
acceptedDate,2020-01-29 21:12:14,2019-01-31 16:58:29,2018-02-01 16:58:26,2017-02-02 21:13:52,2016-01-28 16:17:07,2015-01-29 16:35:58,2014-01-31 16:10:34,2013-02-01 16:43:01
period,FY,FY,FY,FY,FY,FY,FY,FY
revenue,70697000000,55838000000,40653000000,27638000000,17928000000,12466000000,7872000000,5089000000
costOfRevenue,12770000000,9355000000,5454000000,3789000000,2867000000,2153000000,1875000000,1364000000
grossProfit,57927000000,46483000000,35199000000,23849000000,15061000000,10313000000,5997000000,3725000000
grossProfitRatio,0.819369987411,0.83246176439,0.865840159398,0.862906143715,0.840082552432,0.827290229424,0.76181402439,0.731970917666
researchAndDevelopmentExpenses,13600000000,10273000000,7754000000,5919000000,4816000000,2666000000,1415000000,1399000000
generalAndAdministrativeExpenses,10465000000,3451000000,2517000000,1731000000,1295000000,973000000,781000000,892000000
sellingAndMarketingExpenses,9876000000,7846000000,4725000000,3772000000,2725000000,1680000000,997000000,896000000
otherExpenses,9295000000,8020000000,7268000000,6323000000,5857000000,3612000000,1770000000,3056000000
operatingExpenses,43236000000,29590000000,22264000000,17745000000,14693000000,8931000000,4963000000,6243000000
costAndExpenses,46711000000,30925000000,20450000000,15211000000,11703000000,7472000000,5068000000,4551000000
interestExpense,20000000,9000000,6000000,10000000,23000000,23000000,56000000,51000000
depreciationAndAmortization,5741000000,4315000000,3025000000,2342000000,1945000000,1243000000,1011000000,649000000
ebitda,29727000000,29228000000,23228000000,14769000000,8170000000,6237000000,3815000000,1187000000
ebitdaratio,0.420484603307,0.52344281672,0.571372346444,0.534372964759,0.455711735832,0.500320872774,0.484629065041,0.233248182354
operatingIncome,23986000000,24913000000,20203000000,12427000000,6225000000,4994000000,2804000000,538000000
operatingIncomeRatio,0.339278894437,0.446165693614,0.496962093818,0.449634561112,0.347222222222,0.40060965827,0.356199186992,0.105718215759
totalOtherIncomeExpensesNet,826000000,448000000,391000000,91000000,-31000000,-84000000,6000000,7000000
incomeBeforeTax,24812000000,25361000000,20594000000,12518000000,6194000000,4910000000,2754000000,494000000
incomeBeforeTaxRatio,0.350962558524,0.454188903614,0.506580080191,0.452927129315,0.345493083445,0.393871330018,0.349847560976,0.0970721163293
incomeTaxExpense,6327000000,3249000000,4660000000,2301000000,2506000000,1970000000,1254000000,441000000
netIncome,18485000000,22112000000,15934000000,10217000000,3688000000,2940000000,1500000000,53000000
netIncomeRatio,0.261467954793,0.396002722161,0.391951393501,0.369672190462,0.205711735832,0.23584148885,0.190548780488,0.0104146197681
eps,6.48,7.65,5.49,3.56,1.31,1.12,0.62,0.02
epsdiluted,6.43,7.57,5.39,3.49,1.29,1.1,0.6,0.01
weightedAverageShsOut,2876000000,2921000000,2000000,6000000,10000000,6000000,5000000,5000000
weightedAverageShsOutDil,2876000000,2921000000,2956000000,2925000000,2853000000,2664000000,2517000000,2166000000
link,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/0001326801-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/0001326801-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/0001326801-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/0001326801-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/0001326801-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/0001326801-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/0001326801-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/0001326801-13-000003-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/fb-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/fb-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/fb-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/fb-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/fb-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/fb-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/fb-12312012x10k.htm
