,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
symbol,GOOG,GOOG,GOOG,GOOG,GOOG
fillingDate,2020-02-04,2019-02-05,2018-02-06,2017-02-03,2016-02-11
acceptedDate,2020-02-03 21:03:59,2019-02-04 21:06:38,2018-02-05 20:46:29,2017-02-02 18:13:47,2016-02-11 16:38:35
period,FY,FY,FY,FY,FY
cashAndCashEquivalents,18498000000,16701000000,10715000000,12918000000,16549000000
shortTermInvestments,101177000000,92439000000,91156000000,73415000000,56517000000
cashAndShortTermInvestments,119675000000,109140000000,101871000000,86333000000,73066000000
netReceivables,25326000000,20838000000,18336000000,14137000000,11556000000
inventory,999000000.0,1107000000.0,749000000.0,268000000.0,0.0
otherCurrentAssets,6578000000,4591000000,3352000000,4670000000,5492000000
totalCurrentAssets,152578000000,135676000000,124308000000,105408000000,90114000000
propertyPlantEquipmentNet,10941000000,59719000000,42383000000,34234000000,29016000000
goodwill,20624000000,17888000000,16747000000,16468000000,15869000000
intangibleAssets,1979000000,2220000000,2692000000,3307000000,3847000000
goodwillAndIntangibleAssets,22603000000,20108000000,19439000000,19775000000,19716000000
longTermInvestments,13078000000,13859000000,7813000000,5878000000,5183000000
taxAssets,721000000,737000000,680000000,95000000,1903000000
otherNonCurrentAssets,75988000000,2693000000,2672000000,2107000000,1529000000
totalNonCurrentAssets,123331000000,97116000000,72987000000,62089000000,57347000000
otherAssets,0.0,0.0,0.0,0.0,0.0
totalAssets,275909000000,232792000000,197295000000,167497000000,147461000000
accountPayables,5561000000,4378000000,3137000000,2041000000,1931000000
shortTermDebt,358000000.0,396000000.0,0.0,0.0,3225000000.0
taxPayables,274000000,69000000,881000000,554000000,302000000
deferredRevenue,1908000000,1784000000,1432000000,1099000000,788000000
otherCurrentLiabilities,37120000000,27993000000,18733000000,13062000000,13064000000
totalCurrentLiabilities,45221000000,34620000000,24183000000,16756000000,19310000000
longTermDebt,4554000000,4012000000,3969000000,3935000000,1995000000
deferredRevenueNonCurrent,358000000,396000000,340000000,202000000,151000000
deferredTaxLiabilitiesNonCurrent,1701000000,1264000000,430000000,226000000,189000000
otherNonCurrentLiabilities,2534000000,3545000000,3059000000,2665000000,1822000000
totalNonCurrentLiabilities,9147000000,9217000000,7798000000,7028000000,4157000000
otherLiabilities,20099000000,11327000000,12812000000,4677000000,3663000000
totalLiabilities,74467000000,55164000000,44793000000,28461000000,27130000000
commonStock,0.001,0.001,0.001,0.001,687000.0
retainedEarnings,152122000000,134885000000,113247000000,105131000000,89223000000
accumulatedOtherComprehensiveIncomeLoss,-1232000000,-2306000000,-992000000,-2402000000,-1874000000
othertotalStockholdersEquity,50551999999.999,45048999999.999,40246999999.999,36306999999.999,32981313000.0
totalStockholdersEquity,201442000000,177628000000,152502000000,139036000000,120331000000
totalLiabilitiesAndStockholdersEquity,275909000000,232792000000,197295000000,167497000000,147461000000
totalInvestments,114255000000,106298000000,98969000000,79293000000,61700000000
totalDebt,4912000000,4408000000,3969000000,3935000000,5220000000
netDebt,-13586000000,-12293000000,-6746000000,-8983000000,-11329000000
link,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/0001652044-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/0001652044-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/0001652044-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/0001652044-16-000012-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm
