,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
symbol,GOOG,GOOG,GOOG,GOOG,GOOG
fillingDate,2020-02-04,2019-02-05,2018-02-06,2017-02-03,2016-02-11
acceptedDate,2020-02-03 21:03:59,2019-02-04 21:06:38,2018-02-05 20:46:29,2017-02-02 18:13:47,2016-02-11 16:38:35
period,FY,FY,FY,FY,FY
netIncome,34343000000,30736000000,12662000000,19478000000,16348000000
depreciationAndAmortization,11781000000,9035000000,6915000000,6144000000,5063000000
deferredIncomeTax,-173000000,-778000000,-258000000,38000000,179000000
stockBasedCompensation,10794000000,9353000000,7700000000,6703000000,5203000000
changeInWorkingCapital,6301000000.0,931000000.0,11473000000.0,17848000000.0,0.0
accountsReceivables,-4340000000,-2169000000,-3768000000,-2578000000,-2094000000
inventory,0.0,0.0,0.0,0.0,0.0
accountsPayables,428000000,1067000000,731000000,110000000,203000000
otherWorkingCapital,107357000000,101056000000,100125000000,88652000000,70804000000
otherNonCashItems,0.0,0.0,0.0,0.0,0.0
netCashProvidedByOperatingActivities,54520000000,47971000000,37091000000,36036000000,26024000000
investmentsInPropertyPlantAndEquipment,-23548000000,-25139000000,-13184000000,-10212000000,-9915000000
acquisitionsNet,-2515000000,-1491000000,-287000000,-986000000,-236000000
purchasesOfInvestments,-120643000000,-61306000000,-98786000000,-89311000000,-78320000000
salesMaturitiesOfInvestments,98230000000,50259000000,74492000000,67389000000,62905000000
otherInvestingActivites,18985000000,9173000000,6364000000,1955000000,1855000000
netCashUsedForInvestingActivites,-29491000000,-28504000000,-31401000000,-31165000000,-23711000000
debtRepayment,-585000000,-6827000000,-4377000000,-10064000000,-13728000000
commonStockIssued,0.0,0.0,0.0,0.0,0.0
commonStockRepurchased,-18396000000,-9075000000,-4846000000,-3693000000,-1780000000
dividendsPaid,0.0,0.0,0.0,0.0,-47000000.0
otherFinancingActivites,-4228000000,2723000000,925000000,5425000000,11878000000
netCashUsedProvidedByFinancingActivities,-23209000000,-13179000000,-8298000000,-8332000000,-3677000000
effectOfForexChangesOnCash,-23000000,-302000000,405000000,-170000000,-434000000
netChangeInCash,1797000000,5986000000,-2203000000,-3631000000,-1798000000
cashAtEndOfPeriod,18498000000,16701000000,10715000000,12918000000,16549000000
cashAtBeginningOfPeriod,16701000000,10715000000,12918000000,16549000000,18347000000
operatingCashFlow,54520000000,47971000000,37091000000,36036000000,26024000000
capitalExpenditure,23548000000,25139000000,13184000000,10212000000,9915000000
freeCashFlow,30972000000,22832000000,23907000000,25824000000,16109000000
link,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/0001652044-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/0001652044-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/0001652044-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/0001652044-16-000012-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm
