,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-11-28,2007-11-30,2006-11-24,2005-11-25,2004-11-26,2003-11-28,2002-11-29,2001-11-30
symbol,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS
fillingDate,2020-02-21,2019-02-26,2018-02-26,2017-02-27,2016-02-22,2015-02-23,2014-02-28,2013-03-01,2012-02-28,2011-03-01,2010-03-01,2009-01-27,2008-01-29,2007-02-06,2006-02-07,2005-02-08,2004-02-24,2003-02-27,2002-02-22
acceptedDate,2020-02-20 21:09:56,2019-02-25 19:51:24,2018-02-23 20:16:10,2017-02-24 19:08:26,2016-02-19 19:11:09,2015-02-20 21:44:35,2014-02-27 19:38:13,2013-02-28 21:27:42,2012-02-28 17:22:17,2011-02-28 21:34:23,2010-02-26 18:20:23,2009-01-27 06:03:28,2008-01-28 21:13:43,2007-02-06 06:06:14,2006-02-07 08:19:42,2005-02-07 21:16:42,2004-02-24 09:05:23,2003-02-27 09:00:44,2002-02-22 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
cashAndCashEquivalents,133546000000,130547000000,110051000000,121711000000,75105000000,57600000000,61133000000,72669000000,56008000000,39788000000,38291000000,15740000000,11882000000,6293000000,10261000000,4365000000,1000000,1000000,0
shortTermInvestments,57827000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashAndShortTermInvestments,191373000000,130547000000,110051000000,121711000000,75105000000,57600000000,49671000000,49671000000,64264000000,53731000000,36663000000,106664000000,119939000000,80990000000,51405000000,48179000000,1000000,1000000,0
netReceivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherCurrentAssets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalCurrentAssets,191373000000,130547000000,110051000000,121711000000,75105000000,57600000000,49671000000,49671000000,64264000000,53731000000,36663000000,106664000000,119939000000,80990000000,51405000000,48179000000,1000000,1000000,0
propertyPlantEquipmentNet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goodwill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intangibleAssets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goodwillAndIntangibleAssets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longTermInvestments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxAssets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherNonCurrentAssets,801595000000,801249000000,806725000000,738454000000,786290000000,798640000000,0,0,0,0,0,0,0,0,0,0,0,0,0
totalNonCurrentAssets,801595000000,801249000000,806725000000,738454000000,786290000000,798640000000,0,0,0,0,0,0,0,0,0,0,0,0,0
otherAssets,859422000000,801249000000,806725000000,753099000000,804557000000,804524000000,140192000000,888884000000,858961000000,128610000000,812279000000,777883000000,999857000000,757211000000,655399000000,483200000000,115169000000,95232000000,85694000000
totalAssets,992968000000,931796000000,916776000000,860165000000,861395000000,856240000000,189863000000,938555000000,923225000000,182341000000,848942000000,884547000000,1119796000000,838201000000,706804000000,531379000000,115170000000,95233000000,85694000000
accountPayables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shortTermDebt,48287000000,40502000000,46922000000,39265000000,42787000000,44540000000,44692000000,44304000000,49038000000,47842000000,37516000000,52658000000,71557000000,47904000000,7972000000,8558000000,37870000000,35001000000,33593000000
taxPayables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deferredRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherCurrentLiabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalCurrentLiabilities,48287000000,40502000000,46922000000,39265000000,42787000000,44540000000,44692000000,44304000000,49038000000,47842000000,37516000000,52658000000,71557000000,47904000000,7972000000,8558000000,37870000000,35001000000,33593000000
longTermDebt,207076000000,224149000000,217687000000,189086000000,175422000000,167571000000,44692000000,44304000000,49038000000,47842000000,37516000000,52658000000,71557000000,47904000000,55219000000,54959000000,37870000000,35001000000,0
deferredRevenueNonCurrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deferredTaxLiabilitiesNonCurrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherNonCurrentLiabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalNonCurrentLiabilities,207076000000,224149000000,217687000000,189086000000,175422000000,167571000000,44692000000,44304000000,49038000000,47842000000,37516000000,52658000000,71557000000,47904000000,55219000000,54959000000,37870000000,35001000000,0
otherLiabilities,695627000000,617462000000,616846000000,584186000000,599245000000,605872000000,0,0,0,0,0,0,0,0,0,0,0,0,0
totalLiabilities,902703000000,841611000000,834533000000,773272000000,774667000000,773443000000,833040000000,862839000000,852846000000,833976000000,778228000000,884547000000,1076996000000,802415000000,678802000000,506300000000,93538000000,76230000000,67463000000
commonStock,9000000,9000000,9000000,9000000,9000000,9000000,8000000,8000000,8000000,8000000,8000000,7000000,6000000,6000000,6000000,6000000,5000000,5000000,5000000
retainedEarnings,106465000000,100100000000,91519000000,89039000000,83386000000,78984000000,71961000000,65223000000,58834000000,57163000000,50252000000,39913000000,38642000000,27868000000,19085000000,13970000000,9914000000,7259000000,5373000000
accumulatedOtherComprehensiveIncomeLoss,-1484000000,693000000,-1880000000,-1216000000,-718000000,-743000000,-524000000,-193000000,-516000000,-286000000,-362000000,-202000000,-118000000,21000000,0,11000000,6000000,-122000000,-168000000
othertotalStockholdersEquity,0,0,0,0,4051000000,4547000000,7022000000,10678000000,12053000000,20471000000,20816000000,24651000000,4270000000,7891000000,8911000000,11092000000,11707000000,11861000000,13021000000
totalStockholdersEquity,90265000000,90185000000,82243000000,86893000000,86728000000,82797000000,78467000000,75716000000,70379000000,77356000000,70714000000,64369000000,42800000000,35786000000,28002000000,25079000000,21632000000,19003000000,18231000000
totalLiabilitiesAndStockholdersEquity,992968000000,931796000000,916776000000,860165000000,861395000000,856240000000,189863000000,938555000000,923225000000,182341000000,848942000000,884547000000,1119796000000,838201000000,706804000000,531379000000,115170000000,95233000000,85694000000
totalInvestments,57827000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalDebt,207076000000,224149000000,217687000000,189086000000,175422000000,167571000000,89384000000,88608000000,98076000000,95684000000,75032000000,105316000000,143114000000,95808000000,63191000000,63517000000,75740000000,70002000000,33593000000
netDebt,73530000000,93602000000,107636000000,67375000000,100317000000,109971000000,28251000000,15939000000,42068000000,55896000000,36741000000,89576000000,131232000000,89515000000,52930000000,59152000000,75739000000,70001000000,33593000000
link,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/0001193125-20-043853-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/0001193125-19-050198-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/0001193125-18-056383-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312517056804/0001193125-17-056804-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/0001193125-16-470289-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312515056785/0001193125-15-056785-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312514073792/0001193125-14-073792-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312513085474/0001193125-13-085474-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312512085822/0001193125-12-085822-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012311020067/0000950123-11-020067-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012310018464/0000950123-10-018464-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012309001278/0000950123-09-001278-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012308000857/0000950123-08-000857-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012307001332/0000950123-07-001332-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012306001208/0000950123-06-001208-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012305001271/0000950123-05-001271-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012304002239/0000950123-04-002239-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012303002099/0000950123-03-002099-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012302001815/0000950123-02-001815-index.htm
