,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-11-28,2007-11-30,2006-11-24,2005-11-25,2004-11-26,2003-11-28,2002-11-29,2001-11-30
symbol,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS
fillingDate,2020-02-21,2019-02-26,2018-02-26,2017-02-27,2016-02-22,2015-02-23,2014-02-28,2013-03-01,2012-02-28,2011-03-01,2010-03-01,2009-01-27,2008-01-29,2007-02-06,2006-02-07,2005-02-08,2004-02-24,2003-02-27,2002-02-22
acceptedDate,2020-02-20 21:09:56,2019-02-25 19:51:24,2018-02-23 20:16:10,2017-02-24 19:08:26,2016-02-19 19:11:09,2015-02-20 21:44:35,2014-02-27 19:38:13,2013-02-28 21:27:42,2012-02-28 17:22:17,2011-02-28 21:34:23,2010-02-26 18:20:23,2009-01-27 06:03:28,2008-01-28 21:13:43,2007-02-06 06:06:14,2006-02-07 08:19:42,2005-02-07 21:16:42,2004-02-24 09:05:23,2003-02-27 09:00:44,2002-02-22 00:00:00
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenue,36546000000,36616000000,32073000000,30608000000,33820000000,34528000000,30814000000,30283000000,23619000000,9880000000,18224000000,53579000000,87968000000,69353000000,43391000000,29839000000,6218000000,4891000000,7481000000
costOfRevenue,0,0,0,0,0,0,0,0,0,0,0,0,335000000,406000000,25238000000,20951000000,0,0,0
grossProfit,36546000000,36616000000,32073000000,30608000000,33820000000,34528000000,30814000000,30283000000,23619000000,9880000000,18224000000,53579000000,87633000000,68947000000,18153000000,8888000000,6218000000,4891000000,7481000000
grossProfitRatio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9961917970170971,0.9941458913096766,0.41835864580212484,0.2978652099601193,1.0,1.0,1.0
researchAndDevelopmentExpenses,1167000000,1023000000,897000000,809000000,806000000,779000000,0,0,0,0,0,0,0,0,0,0,0,0,0
generalAndAdministrativeExpenses,12353000000,12328000000,11853000000,11647000000,12678000000,12691000000,12613000000,0,0,0,0,0,0,0,0,0,0,0,0
sellingAndMarketingExpenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherExpenses,24898000000,23461000000,758000000,675000000,686000000,693000000,22469000000,22956000000,22642000000,661000000,1671000000,19886000000,28383000000,23105000000,16509000000,13874000000,228000000,233000000,287000000
operatingExpenses,13520000000,13351000000,12750000000,12456000000,13484000000,13470000000,12613000000,22956000000,22642000000,661000000,1671000000,19886000000,28383000000,23105000000,16509000000,13874000000,228000000,233000000,287000000
costAndExpenses,13520000000,13351000000,12750000000,12456000000,13484000000,13470000000,12613000000,22956000000,22642000000,661000000,1671000000,19886000000,28718000000,23511000000,41747000000,34825000000,228000000,233000000,287000000
interestExpense,17376000000,15912000000,10181000000,7104000000,5388000000,5557000000,6668000000,0,0,0,-3112000000,-31357000000,-41981000000,-31688000000,-18153000000,-8888000000,-2154000000,-2131000000,-3882000000
depreciationAndAmortization,1704000000,1328000000,1152000000,998000000,991000000,1337000000,1322000000,1738000000,1869000000,143000000,143000000,1385000000,916000000,749000000,689000000,499000000,99000000,97000000,90000000
ebitda,12287000000,13809000000,12284000000,11302000000,9769000000,13694000000,11737000000,1738000000,1869000000,143000000,143000000,1385000000,916000000,749000000,689000000,499000000,99000000,97000000,90000000
ebitdaratio,0.33620642478,0.377130216299,0.383001278334,0.369249869315,0.288852749852,0.396605653383,0.042902576750827544,0.0573919360697421,0.07913120792582243,0.014473684210526316,0.007846795434591746,0.025849679911905784,0.01041287740996726,0.010799821204562167,0.015878868889861952,0.016723080532189415,0.015921518173045997,0.019832345123696585,0.012030477208929288
operatingIncome,10583000000,12481000000,11132000000,10304000000,8778000000,12357000000,11737000000,0,0,0,0,0,0,0,0,0,0,0,0
operatingIncomeRatio,0.289580255021,0.340861918287,0.347083216413,0.336644014637,0.259550561798,0.357883456905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
totalOtherIncomeExpensesNet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incomeBeforeTax,10583000000,12481000000,11132000000,10304000000,8778000000,12357000000,11737000000,4088000000,0,0,0,0,0,0,0,0,0,0,0
incomeBeforeTaxRatio,0.289580255021,0.340861918287,0.347083216413,0.336644014637,0.259550561798,0.357883456905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incomeTaxExpense,2117000000,2022000000,6846000000,2906000000,2695000000,3880000000,3697000000,4088000000,0,0,0,0,0,0,0,0,0,0,0
netIncome,8466000000,10459000000,4286000000,7398000000,6083000000,8477000000,8040000000,0,0,0,0,0,0,0,0,0,0,0,0
netIncomeRatio,0.231653258907,0.285640157308,0.133632650516,0.241701515944,0.179863985807,0.245510889713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eps,21.18,25.53,9.12,16.53,12.35,17.55,0.0,0.0,0.0,0.0,0.0,4.67,26.34,20.93,11.73,9.3,0.0,0.0,0.0
epsdiluted,21.03,25.27,9.01,16.29,12.14,17.07,0.0,0.0,0.0,0.0,0.0,4.47,24.73,19.69,11.21,8.92,0.0,0.0,0.0
weightedAverageShsOut,371600000,385400000,401600000,427400000,448900000,458900000,468600000,468600000,468600000,468600000,0,0,0,0,0,0,0,0,0
weightedAverageShsOutDil,375500000,390200000,409100000,435100000,458600000,473200000,484600000,484600000,484600000,484600000,0,0,0,0,0,0,0,0,0
link,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/0001193125-20-043853-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/0001193125-19-050198-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/0001193125-18-056383-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312517056804/0001193125-17-056804-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/0001193125-16-470289-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312515056785/0001193125-15-056785-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312514073792/0001193125-14-073792-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312513085474/0001193125-13-085474-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312512085822/0001193125-12-085822-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012311020067/0000950123-11-020067-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012310018464/0000950123-10-018464-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012309001278/0000950123-09-001278-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012308000857/0000950123-08-000857-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012307001332/0000950123-07-001332-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012306001208/0000950123-06-001208-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012305001271/0000950123-05-001271-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012304002239/0000950123-04-002239-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012303002099/0000950123-03-002099-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012302001815/0000950123-02-001815-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/d826673d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/d669877d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/d480167d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312517056804/d308759d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/d107036d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312515056785/d840464d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312514073792/d655877d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312513085474/d446679d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312512085822/d276319d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012311020067/y88213e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012310018464/y81914e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012309001278/y74032e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012308000857/y46519e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012307001332/y29219e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012306001208/y16720e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012305001271/e05053e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012304002239/y94357e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012303002099/y83718e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012302001815/y57552e10-k405.htm
