,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2003-12-31,2002-12-31
symbol,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM
fillingDate,2020-02-25,2019-02-26,2018-02-27,2017-02-28,2016-02-23,2015-02-24,2014-02-25,2013-02-26,2012-02-28,2011-02-22,2010-02-23,2009-02-24,2008-02-26,2007-02-27,2006-02-28,2004-03-08,2003-03-10
acceptedDate,2020-02-25 16:54:20,2019-02-26 16:27:59,2018-02-27 17:13:57,2017-02-28 16:23:36,2016-02-23 16:19:19,2015-02-24 14:08:09,2014-02-25 14:13:24,2013-02-26 15:35:35,2012-02-28 14:52:20,2011-02-22 13:08:33,2010-02-23 13:31:57,2009-02-24 14:26:00,2008-02-26 14:06:45,2007-02-27 15:08:14,2006-02-28 16:50:07,2004-03-08 15:28:07,
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
cashAndCashEquivalents,8172000000,11379000000,11972000000,7826000000,7686000000,8476000000,10716000000,10412000000,11922000000,10661000000,12183000000,12741000000,14991000000,8022000000,12568000000,7290000000,5382000000
shortTermInvestments,696000000,618000000,608000000,701000000,508000000,5603000000,350000000,717000000,4895000000,990000000,1791000000,166000000,1155000000,2634000000,1118000000,357000000,593000000
cashAndShortTermInvestments,8868000000,11997000000,12580000000,8527000000,8194000000,8476000000,11066000000,11129000000,11922000000,11651000000,13974000000,12907000000,16146000000,10656000000,13686000000,7647000000,5975000000
netReceivables,7870000000,7432000000,8928000000,9182000000,8333000000,9090000000,10465000000,10667000000,11179000000,10834000000,10736000000,10906000000,11428000000,10789000000,9540000000,10026000000,9915000000
inventory,1619000000,1682000000,1583000000,1553000000,1551000000,2103000000,2310000000,2287000000,2595000000,2450000000,2494000000,2701000000,2664000000,2810000000,2841000000,2942000000,3148000000
otherCurrentAssets,20063000000,28035000000,26644000000,24626000000,24426000000,29753000000,27509000000,25350000000,25232000000,23181000000,21731000000,22490000000,22939000000,20405000000,19594000000,24383000000,22614000000
totalCurrentAssets,38420000000,49146000000,49735000000,43888000000,42504000000,49422000000,51350000000,49433000000,50928000000,48116000000,48935000000,49004000000,53177000000,44660000000,45661000000,44998000000,41652000000
propertyPlantEquipmentNet,10010000000.0,10792000000.0,11116000000.0,10830000000.0,10727000000.0,10771000000.0,13821000000.0,13996000000.0,13883000000.0,14096000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goodwill,58222000000.0,36265000000.0,36788000000.0,36199000000.0,32021000000.0,30556000000.0,31184000000.0,29247000000.0,26213000000.0,25136000000.0,0.0,18226000000.0,14285000000.0,12854000000.0,9441000000.0,6921000000.0,4115000000.0
intangibleAssets,15235000000.0,3087000000.0,3742000000.0,4688000000.0,3487000000.0,3104000000.0,3871000000.0,3787000000.0,3392000000.0,3488000000.0,2513000000.0,2878000000.0,2107000000.0,2202000000.0,1663000000.0,336000000.0,0.0
goodwillAndIntangibleAssets,73457000000,39352000000,40530000000,40887000000,35508000000,33660000000,35055000000,33034000000,29605000000,28624000000,2513000000,21104000000,16392000000,15056000000,11104000000,7257000000,4115000000
