,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2003-12-31
symbol,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM
fillingDate,2020-02-25,2019-02-26,2018-02-27,2017-02-28,2016-02-23,2015-02-24,2014-02-25,2013-02-26,2012-02-28,2011-02-22,2010-02-23,2009-02-24,2008-02-26,2007-02-27,2006-02-28,2004-03-08
acceptedDate,2020-02-25 16:54:20,2019-02-26 16:27:59,2018-02-27 17:13:57,2017-02-28 16:23:36,2016-02-23 16:19:19,2015-02-24 14:08:09,2014-02-25 14:13:24,2013-02-26 15:35:35,2012-02-28 14:52:20,2011-02-22 13:08:33,2010-02-23 13:31:57,2009-02-24 14:26:00,2008-02-26 14:06:45,2007-02-27 15:08:14,2006-02-28 16:50:07,2004-03-08 15:28:07
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
netIncome,9431000000.0,8728000000.0,5753000000.0,11872000000.0,13190000000.0,12022000000.0,16483000000.0,16604000000.0,15855000000.0,14833000000.0,13425000000.0,12334000000.0,10418000000.0,9492000000.0,7934000000.0,0.0
depreciationAndAmortization,6059000000,4480000000,4541000000,4381000000,3855000000,4492000000,4678000000,4676000000,4815000000,4831000000,3773000000,4140000000,4038000000,3907000000,4147000000,3961000000
deferredIncomeTax,1527000000,-853000000,931000000,1132000000,-1387000000,237000000,1610000000,-797000000,-1212000000,-1294000000,1773000000,1900000000,740000000,1724000000,2185000000,1126000000
stockBasedCompensation,679000000.0,510000000.0,534000000.0,544000000.0,468000000.0,512000000.0,614000000.0,688000000.0,697000000.0,629000000.0,558000000.0,659000000.0,713000000.0,846000000.0,1043000000.0,0.0
changeInWorkingCapital,-10200000000.0,-1453000000.0,4759000000.0,-622000000.0,-1587000000.0,-1374000000.0,5388000000.0,-2997000000.0,1251000000.0,-5379000000.0,6364000000.0,-2298000000.0,4298000000.0,-5940000000.0,3411000000.0,0.0
accountsReceivables,502000000,1006000000,1297000000,712000000,812000000,1270000000,-1407000000,-2230000000,-1279000000,-489000000,2131000000,274000000,-1408000000,-512000000,2219000000,2024000000
inventory,67000000,-127000000,18000000,-14000000,133000000,-39000000,-57000000,280000000,-163000000,92000000,263000000,-102000000,182000000,112000000,202000000,293000000
accountsPayables,-503000000,126000000,47000000,197000000,81000000,-456000000,-529000000,-224000000,451000000,174000000,170000000,-860000000,-142000000,355000000,-536000000,617000000
otherWorkingCapital,719000000,10919000000,12372000000,7613000000,8235000000,9822000000,11196000000,5808000000,8805000000,7554000000,12933000000,6569000000,8867000000,4569000000,10509000000,7098000000
otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
netCashProvidedByOperatingActivities,14770000000,15247000000,16724000000,16958000000,17008000000,16868000000,17485000000,19586000000,19846000000,19549000000,20773000000,18812000000,16094000000,15019000000,14914000000,14569000000
investmentsInPropertyPlantAndEquipment,-2286000000.0,-3395000000.0,-3229000000.0,-3567000000.0,-3579000000.0,-3740000000.0,-3623000000.0,-4082000000.0,-4108000000.0,-4185000000.0,0.0,0.0,0.0,0.0,0.0,0.0
acquisitionsNet,-32630000000.0,-139000000.0,-496000000.0,-5679000000.0,-3349000000.0,-656000000.0,-3056000000.0,-3722000000.0,-1811000000.0,-5922000000.0,-1194000000.0,-6313000000.0,-1009000000.0,-3799000000.0,-1482000000.0,0.0
purchasesOfInvestments,-5054000000,-4443000000,-9304000000,-9419000000,-4609000000,-13679000000,-13859000000,-11995000000,-15046000000,-21504000000,-5604000000,-4590000000,-30449000000,-28555000000,-4526000000,-6471000000
salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otherInvestingActivites,13034000000.0,2569000000.0,5933000000.0,7689000000.0,2905000000.0,14419000000.0,23652000000.0,22601000000.0,26737000000.0,23104000000.0,0.0,0.0,0.0,0.0,0.0,0.0
netCashUsedForInvestingActivites,-26936000000,-5408000000,-7096000000,-10976000000,-8632000000,-3656000000,3114000000,2802000000,5772000000,-8507000000,-6729000000,-9285000000,-4675000000,-11549000000,-4423000000,-5122000000
debtRepayment,-10347000000,-9874000000,-7436000000,-6421000000,-5723000000,-2891000000,-10634000000,-9108000000,-10268000000,-7339000000,-13495000000,-10248000000,-11306000000,-3400000000,-3522000000,-5831000000
commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commonStockRepurchased,-1361000000.0,-4443000000.0,-4340000000.0,-3502000000.0,-4609000000.0,-13679000000.0,-13859000000.0,-11995000000.0,-15046000000.0,-15375000000.0,-7429000000.0,-10578000000.0,-18828000000.0,0.0,0.0,0.0
dividendsPaid,-5707000000,-5666000000,-5506000000,-5256000000,-4897000000,-4265000000,-4058000000,-3773000000,-3473000000,-3177000000,-2860000000,-2585000000,-2147000000,-1683000000,-1250000000,-1085000000
otherFinancingActivites,26457000000.0,9514000000.0,10864000000.0,9388000000.0,6063000000.0,5383000000.0,18668000000.0,12900000000.0,15091000000.0,13462000000.0,0.0,0.0,0.0,0.0,0.0,0.0
netCashUsedProvidedByFinancingActivities,9042000000,-10469000000,-6418000000,-5791000000,-9166000000,-15452000000,-9883000000,-11976000000,-13696000000,-12429000000,-14700000000,-11834000000,-4740000000,-8204000000,-7147000000,-7798000000
effectOfForexChangesOnCash,-167000000.0,-495000000.0,937000000.0,-51000000.0,-473000000.0,-655000000.0,28000000.0,-116000000.0,-493000000.0,-135000000.0,0.0,0.0,0.0,0.0,0.0,0.0
netChangeInCash,-3290000000.0,-630000000.0,4146000000.0,140000000.0,-790000000.0,-2240000000.0,10716000000.0,10412000000.0,11922000000.0,-1522000000.0,0.0,0.0,0.0,0.0,0.0,0.0
cashAtEndOfPeriod,8314000000.0,11604000000.0,11972000000.0,7826000000.0,7686000000.0,8476000000.0,10716000000.0,10412000000.0,11922000000.0,10661000000.0,0.0,0.0,0.0,0.0,0.0,0.0
cashAtBeginningOfPeriod,11604000000.0,12234000000.0,7826000000.0,7686000000.0,8476000000.0,10716000000.0,0.0,0.0,0.0,12183000000.0,0.0,0.0,0.0,0.0,0.0,0.0
operatingCashFlow,14770000000,15247000000,16724000000,16958000000,17008000000,16868000000,17485000000,19586000000,19846000000,19549000000,20773000000,18812000000,16094000000,15019000000,14914000000,14569000000
capitalExpenditure,2286000000.0,3395000000.0,3229000000.0,3567000000.0,3579000000.0,3740000000.0,3623000000.0,4082000000.0,4108000000.0,4185000000.0,0.0,0.0,0.0,0.0,0.0,0.0
freeCashFlow,12484000000,11852000000,13495000000,13391000000,13429000000,13128000000,13862000000,15504000000,15738000000,15364000000,20773000000,18812000000,16094000000,15019000000,14914000000,14569000000
link,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/0001558370-20-001334-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/0001047469-19-000712-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/0001047469-18-001117-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/0001047469-17-001061-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746916010329/0001047469-16-010329-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746915001106/0001047469-15-001106-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/0001047469-14-001302-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746913001698/0001047469-13-001698-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746912001742/0001047469-12-001742-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746911001117/0001047469-11-001117-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746910001151/0001047469-10-001151-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746909001737/0001047469-09-001737-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746908001731/0001047469-08-001731-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746907001434/0001047469-07-001434-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746906002608/0001047469-06-002608-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746904006934/0001047469-04-006934-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/ibm-20191231x10k2af531.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/a2237254z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/a2233835z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/a2230222z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746916010329/a2226548z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746915001106/a2222209z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/a2217495z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746913001698/a2212340z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746912001742/a2206744z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746911001117/a2201254z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746910001151/a2195966z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746909001737/a2189817z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746908001731/a2181836z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746907001434/a2175501z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746906002608/a2166922z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746904006934/a2129092z10-k.htm
