,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2003-12-31
symbol,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM
fillingDate,2020-02-25,2019-02-26,2018-02-27,2017-02-28,2016-02-23,2015-02-24,2014-02-25,2013-02-26,2012-02-28,2011-02-22,2010-02-23,2009-02-24,2008-02-26,2007-02-27,2006-02-28,2004-03-08
acceptedDate,2020-02-25 16:54:20,2019-02-26 16:27:59,2018-02-27 17:13:57,2017-02-28 16:23:36,2016-02-23 16:19:19,2015-02-24 14:08:09,2014-02-25 14:13:24,2013-02-26 15:35:35,2012-02-28 14:52:20,2011-02-22 13:08:33,2010-02-23 13:31:57,2009-02-24 14:26:00,2008-02-26 14:06:45,2007-02-27 15:08:14,2006-02-28 16:50:07,2004-03-08 15:28:07
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenue,77147000000,79591000000,79139000000,79919000000,81741000000,92793000000,99751000000,104507000000,106916000000,99870000000,95758000000,103630000000,98786000000,91424000000,91134000000,89131000000
costOfRevenue,40659000000,42655000000,42913000000,41625000000,41057000000,46386000000,51246000000,54209000000,56778000000,53857000000,51973000000,57969000000,57057000000,53129000000,54602000000,56113000000
grossProfit,36488000000,36936000000,36227000000,38294000000,40684000000,46407000000,48505000000,50298000000,50138000000,46014000000,43785000000,45661000000,41729000000,38295000000,36532000000,33018000000
grossProfitRatio,0.472967192503,0.464072571019,0.457764187063,0.479160149652,0.497718403249,0.500113155087,0.486260789366,0.481288334753,0.46894758502,0.460738960649,0.4572463919463648,0.4406156518382708,0.42241815641892577,0.41887250612530624,0.40086027168784427,0.37044350450460556
researchAndDevelopmentExpenses,5989000000,5379000000,5787000000,5751000000,5247000000,5437000000,6226000000,6302000000,6258000000,6026000000,5820000000,6337000000,6153000000,6107000000,5842000000,5077000000
generalAndAdministrativeExpenses,20604000000,19366000000,20107000000,21069000000,20430000000,23180000000,23502000000,23553000000,23594000000,21837000000,20952000000,23386000000,22060000000,20259000000,21314000000,17852000000
sellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otherExpenses,-968000000,1152000000,-216000000,145000000,-724000000,-1938000000,-327000000,-843000000,-20000000,-787000000,-351000000,-298000000,-626000000,-766000000,-2122000000,238000000
operatingExpenses,26593000000,24745000000,25894000000,26820000000,25677000000,28617000000,29728000000,29855000000,29852000000,27863000000,26772000000,29723000000,28213000000,26366000000,27156000000,22929000000
costAndExpenses,67252000000,67400000000,68807000000,68445000000,66734000000,75003000000,80974000000,84064000000,86630000000,81720000000,78745000000,87692000000,85270000000,79495000000,81758000000,79042000000
interestExpense,1344000000,723000000,615000000,630000000,468000000,484000000,402000000,459000000,411000000,368000000,-402000000,-673000000,-611000000,-278000000,-220000000,-145000000
depreciationAndAmortization,6059000000,4480000000,4541000000,4381000000,3855000000,4492000000,4678000000,4676000000,4815000000,4831000000,3773000000,4140000000,4038000000,3907000000,4147000000,3961000000
ebitda,16225000000,15822000000,15941000000,16711000000,19800000000,24478000000,24202000000,26578000000,25818000000,24554000000,17198000000,16474000000,14456000000,13323000000,12141000000,11574000000
ebitdaratio,0.210312779499,0.198791320627,0.201430394622,0.209099212953,0.24222850222,0.263791449786,0.242624134094,0.254317892581,0.241479292155,0.245859617503,0.1795985713987343,0.15896941040239312,0.14633652541858158,0.145727598879944,0.1332214102310883,0.12985381068315177
operatingIncome,10166000000,11342000000,11400000000,12330000000,15945000000,19986000000,19524000000,21902000000,21003000000,19723000000,13425000000,12334000000,10418000000,9416000000,7994000000,7613000000
operatingIncomeRatio,0.131774404708,0.142503549396,0.144050341804,0.154281209725,0.195067346864,0.215382625845,0.195727361129,0.209574478265,0.196443937297,0.197486732753,0.14019716368345203,0.1190195889221268,0.10546028789504586,0.10299264963248163,0.08771698817126429,0.08541360469421413
totalOtherIncomeExpensesNet,-968000000,1152000000,-216000000,145000000,-724000000,-1938000000,-327000000,-843000000,-20000000,-787000000,-351000000,-298000000,-626000000,-766000000,-2122000000,238000000
incomeBeforeTax,10166000000,11342000000,11400000000,12330000000,15945000000,19986000000,19524000000,21902000000,21003000000,19723000000,18138000000,16715000000,14489000000,13317000000,12226000000,10874000000
incomeBeforeTaxRatio,0.131774404708,0.142503549396,0.144050341804,0.154281209725,0.195067346864,0.215382625845,0.195727361129,0.209574478265,0.196443937297,0.197486732753,0.189414983604503,0.16129499179774195,0.14667058085153767,0.14566197059852992,0.134154102749797,0.12200020194993885
incomeTaxExpense,731000000,2619000000,5642000000,449000000,2581000000,4234000000,3041000000,5298000000,5148000000,4890000000,4713000000,4381000000,4071000000,3901000000,4232000000,3261000000
netIncome,9431000000,8728000000,5753000000,11872000000,13190000000,12022000000,16483000000,16604000000,15855000000,14833000000,13425000000,12334000000,10418000000,9492000000,7934000000,7583000000
netIncomeRatio,0.12224713858,0.109660640022,0.0726948786313,0.148550407287,0.16136333052,0.129557186426,0.165241451214,0.15887930952,0.148293987804,0.148523080004,0.14019716368345203,0.1190195889221268,0.10546028789504586,0.10382394119705986,0.08705861698158755,0.08507702146279073
eps,10.63,9.57,6.17,12.43,13.48,11.97,15.06,14.53,13.25,11.69,0.0,0.0,0.0,0.0,0.0,0.0
epsdiluted,10.56,9.52,6.14,12.38,13.42,11.9,14.94,14.37,13.06,11.52,0.0,0.0,0.0,0.0,0.0,0.0
weightedAverageShsOut,887235105.0,912048072.0,932828295.0,955422530.0,978744523.0,1004272584.0,1094486604.0,1142508521.0,1196951006.0,1268789202.0,1268789202.0,0.0,0.0,0.0,0.0,0.0
weightedAverageShsOutDil,892813376.0,916315714.0,937385625.0,958714097.0,982700267.0,1010000480.0,1103042156.0,1155449317.0,1213767985.0,1287355388.0,1287355388.0,0.0,0.0,0.0,0.0,0.0
link,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/0001558370-20-001334-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/0001047469-19-000712-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/0001047469-18-001117-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/0001047469-17-001061-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746916010329/0001047469-16-010329-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746915001106/0001047469-15-001106-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/0001047469-14-001302-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746913001698/0001047469-13-001698-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746912001742/0001047469-12-001742-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746911001117/0001047469-11-001117-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746910001151/0001047469-10-001151-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746909001737/0001047469-09-001737-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746908001731/0001047469-08-001731-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746907001434/0001047469-07-001434-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746906002608/0001047469-06-002608-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746904006934/0001047469-04-006934-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/ibm-20191231x10k2af531.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/a2237254z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/a2233835z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/a2230222z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746916010329/a2226548z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746915001106/a2222209z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/a2217495z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746913001698/a2212340z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746912001742/a2206744z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746911001117/a2201254z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746910001151/a2195966z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746909001737/a2189817z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746908001731/a2181836z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746907001434/a2175501z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746906002608/a2166922z10-k.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746904006934/a2129092z10-k.htm
