,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30,2004-06-30,2003-06-30,2002-06-30
symbol,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
fillingDate,2019-08-01,2018-08-03,2017-08-02,2016-07-28,2015-07-31,2014-07-31,2013-07-30,2012-07-26,2011-07-28,2010-07-30,2009-07-30,2008-07-31,2007-08-03,2006-08-25,2005-08-26,2004-09-01,2003-09-05,2002-09-06
acceptedDate,2019-08-01 16:09:55,2018-08-03 11:03:33,2017-08-02 16:15:01,2016-07-28 16:12:18,2015-07-31 15:07:52,2014-07-31 17:16:52,2013-07-30 16:14:49,2012-07-26 16:12:48,2011-07-28 14:59:09,2010-07-30 11:30:38,2009-07-30 06:05:07,2008-07-31 17:23:18,2007-08-03 17:13:48,2006-08-25 17:13:53,2005-08-25 19:59:54,2004-09-01 17:03:00,2003-09-04 19:42:47,2002-09-05 20:20:11
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
cashAndCashEquivalents,11356000000,11946000000,7663000000,6510000000,5595000000,8669000000,3804000000,6938000000,9610000000,5505000000,6076000000,10339000000,6111000000,6714000000,4851000000,15982000000,6438000000,3016000000
shortTermInvestments,122463000000,121822000000,125318000000,106730000000,90931000000,77040000000,73218000000,56102000000,43162000000,31283000000,25371000000,13323000000,17300000000,27447000000,32900000000,44610000000,42610000000,35636000000
cashAndShortTermInvestments,11356000000,133768000000,132981000000,113240000000,96526000000,85709000000,77022000000,63040000000,52772000000,36788000000,31447000000,23662000000,23411000000,34161000000,37751000000,60592000000,49048000000,38652000000
netReceivables,29524000000,26481000000,19792000000,18277000000,17908000000,19544000000,17486000000,15780000000,14987000000,13014000000,11192000000,13589000000,11338000000,9316000000,7180000000,5890000000,5196000000,5129000000
inventory,2063000000,2662000000,2181000000,2251000000,2902000000,2660000000,1938000000,1137000000,1372000000,740000000,717000000,985000000,1127000000,1478000000,491000000,421000000,640000000,673000000
otherCurrentAssets,10146000000,6751000000,4897000000,5892000000,7376000000,6333000000,5020000000,5127000000,5787000000,5134000000,5924000000,5006000000,4292000000,4055000000,3315000000,3663000000,4089000000,4122000000
totalCurrentAssets,175552000000,169662000000,159851000000,139660000000,124712000000,114246000000,101466000000,85084000000,74918000000,55676000000,49280000000,43242000000,40168000000,49010000000,48737000000,70566000000,58973000000,48576000000
propertyPlantEquipmentNet,36477000000,29460000000,23734000000,18356000000,14731000000,13011000000,9991000000,8269000000,8162000000,7630000000,7535000000,6242000000,4350000000,3044000000,2346000000,2326000000,2223000000,2268000000
goodwill,42026000000,35683000000,35122000000,17872000000,16939000000,20127000000,14655000000,13452000000,12581000000,12394000000,12503000000,12108000000,4760000000,3866000000,3309000000,3115000000,3128000000,1426000000
intangibleAssets,7750000000,8053000000,10106000000,3733000000,4835000000,6981000000,3083000000,3170000000,744000000,1158000000,1759000000,1973000000,878000000,539000000,499000000,569000000,384000000,243000000
goodwillAndIntangibleAssets,49776000000,43736000000,45228000000,21605000000,21774000000,27108000000,17738000000,16622000000,13325000000,13552000000,14262000000,14081000000,5638000000,4405000000,3808000000,3684000000,3512000000,1669000000
longTermInvestments,0,0,0,0,0,0,0,0,10865000000,7754000000,0,0,0,0,0,0,0,0
taxAssets,0,0,0,0,1915000000,1941000000,1632000000,2035000000,2467000000,0,0,0,0,0,0,0,0,0
otherNonCurrentAssets,24751000000,15990000000,12273000000,14073000000,13091000000,16078000000,11604000000,9261000000,-1033000000,1501000000,0,0,0,0,0,0,0,0
totalNonCurrentAssets,111004000000,89186000000,81235000000,54034000000,51511000000,58138000000,40965000000,36187000000,33786000000,30437000000,21797000000,20323000000,9988000000,7449000000,6154000000,6010000000,5735000000,3937000000
otherAssets,24751000000,15990000000,12273000000,14073000000,15006000000,38146000000,13236000000,11296000000,12299000000,9255000000,6811000000,9228000000,13015000000,13138000000,15924000000,15813000000,14863000000,15133000000
totalAssets,286556000000,258848000000,241086000000,193694000000,176223000000,172384000000,142431000000,121271000000,108704000000,86113000000,77888000000,72793000000,63171000000,69597000000,70815000000,92389000000,79571000000,67646000000
accountPayables,9382000000,8617000000,7390000000,6898000000,6591000000,7432000000,4828000000,4175000000,4197000000,4025000000,3324000000,4034000000,3247000000,2909000000,2086000000,1717000000,1573000000,1208000000
shortTermDebt,5516000000,3998000000,1049000000,12904000000,2499000000,0,2999000000,1231000000,0,1000000000,0,0,0,0,0,0,0,0
taxPayables,5665000000,2121000000,718000000,580000000,606000000,782000000,592000000,789000000,580000000,1074000000,0,0,0,0,0,0,0,0
deferredRevenue,32676000000,28905000000,34102000000,27468000000,23223000000,23150000000,20639000000,18653000000,15722000000,13652000000,2213000000,949000000,1899000000,1940000000,1701000000,2097000000,2506000000,2112000000
otherCurrentLiabilities,16181000000,14847000000,21268000000,24411000000,16939000000,14261000000,8359000000,7840000000,8275000000,6396000000,21497000000,24903000000,18608000000,17593000000,13090000000,11155000000,9895000000,9424000000
totalCurrentLiabilities,69420000000,58488000000,64527000000,59357000000,49858000000,45625000000,37417000000,32688000000,28774000000,26147000000,27034000000,29886000000,23754000000,22442000000,16877000000,14969000000,13974000000,12744000000
longTermDebt,66662000000,72242000000,76073000000,40783000000,27808000000,20645000000,12601000000,10713000000,11921000000,4939000000,3746000000,0,0,0,0,0,0,0
deferredRevenueNonCurrent,4530000000,3815000000,10377000000,6441000000,2095000000,2008000000,1760000000,1406000000,1398000000,1178000000,0,0,0,0,0,0,0,0
deferredTaxLiabilitiesNonCurrent,233000000,541000000,531000000,1476000000,2835000000,2728000000,1709000000,1893000000,1456000000,229000000,0,0,0,0,0,0,0,0
otherNonCurrentLiabilities,7581000000,5211000000,17184000000,13640000000,13544000000,11594000000,10000000000,8208000000,8072000000,7445000000,6269000000,4721000000,6453000000,5287000000,4158000000,932000000,1056000000,501000000
totalNonCurrentLiabilities,79006000000,81809000000,104165000000,62340000000,46282000000,36975000000,26070000000,22220000000,22847000000,13791000000,10015000000,4721000000,6453000000,5287000000,4158000000,932000000,1056000000,501000000
otherLiabilities,35800000000,35833000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalLiabilities,184226000000,176130000000,168692000000,121697000000,96140000000,82600000000,63487000000,54908000000,51621000000,39938000000,77888000000,72793000000,63171000000,69597000000,70815000000,92389000000,79571000000,67646000000
commonStock,7643000000,7677000000,7708000000,7808000000,8027000000,8239000000,8328000000,8381000000,8376000000,8668000000,62382000000,62849000000,60557000000,59005000000,60413000000,56396000000,35344000000,31647000000
retainedEarnings,24150000000,13682000000,2648000000,2282000000,9096000000,17710000000,9895000000,1422000000,1863000000,-16681000000,0,0,0,-18901000000,-12298000000,18429000000,25676000000,20533000000
accumulatedOtherComprehensiveIncomeLoss,-340000000,-2187000000,431000000,1537000000,2522000000,3708000000,1743000000,1422000000,1863000000,1055000000,-22824000000,-26563000000,-29460000000,-18901000000,-12298000000,18429000000,25676000000,20533000000
othertotalStockholdersEquity,70877000000,63546000000,61607000000,60370000000,60438000000,60127000000,58978000000,55138000000,44981000000,53133000000,0,0,0,18901000000,12298000000,0,0,0
totalStockholdersEquity,102330000000,82718000000,72394000000,71997000000,80083000000,89784000000,78944000000,66363000000,57083000000,46175000000,39558000000,36286000000,31097000000,40104000000,48115000000,74825000000,61020000000,52180000000
totalLiabilitiesAndStockholdersEquity,286556000000,258848000000,241086000000,193694000000,176223000000,172384000000,142431000000,121271000000,108704000000,86113000000,77888000000,72793000000,63171000000,69597000000,70815000000,92389000000,79571000000,67646000000
totalInvestments,122463000000,121822000000,125318000000,106730000000,90931000000,77040000000,73218000000,56102000000,54027000000,39037000000,25371000000,13323000000,17300000000,27447000000,32900000000,44610000000,42610000000,35636000000
totalDebt,72178000000,76240000000,77122000000,40783000000,30307000000,20645000000,15600000000,11944000000,11921000000,5939000000,3746000000,0,0,0,0,0,0,0
netDebt,60822000000,64294000000,69459000000,34273000000,24712000000,11976000000,11796000000,5006000000,2311000000,434000000,-2330000000,-10339000000,-6111000000,-6714000000,-4851000000,-15982000000,-6438000000,-3016000000
link,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/0001193125-11-200680-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/0001193125-10-171791-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/0001193125-08-162768-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/0001193125-07-170817-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/0001193125-06-180008-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/0001193125-05-174825-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/0001193125-04-150689-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/0001193125-03-045632-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/0001032210-02-001351-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/d187868d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/d918813d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/d722626d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/d527745d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/d347676d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/d10k.htm
