,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30,2004-06-30,2003-06-30,2002-06-30
symbol,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
fillingDate,2019-08-01,2018-08-03,2017-08-02,2016-07-28,2015-07-31,2014-07-31,2013-07-30,2012-07-26,2011-07-28,2010-07-30,2009-07-30,2008-07-31,2007-08-03,2006-08-25,2005-08-26,2004-09-01,2003-09-05,2002-09-06
acceptedDate,2019-08-01 16:09:55,2018-08-03 11:03:33,2017-08-02 16:15:01,2016-07-28 16:12:18,2015-07-31 15:07:52,2014-07-31 17:16:52,2013-07-30 16:14:49,2012-07-26 16:12:48,2011-07-28 14:59:09,2010-07-30 11:30:38,2009-07-30 06:05:07,2008-07-31 17:23:18,2007-08-03 17:13:48,2006-08-25 17:13:53,2005-08-25 19:59:54,2004-09-01 17:03:00,2003-09-04 19:42:47,2002-09-05 20:20:11
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
netIncome,39240000000,16571000000,21204000000,16798000000,12193000000,22074000000,21863000000,16978000000,23150000000,18760000000,14569000000,17681000000,14065000000,12599000000,12254000000,8168000000,9993000000,7829000000
depreciationAndAmortization,11682000000,10261000000,8778000000,6622000000,5957000000,5212000000,3755000000,2967000000,2766000000,2673000000,2562000000,2056000000,1440000000,903000000,855000000,1186000000,1439000000,1084000000
deferredIncomeTax,6463000000,5143000000,3296000000,-332000000,-224000000,331000000,19000000,-954000000,-2000000,220000000,762000000,935000000,421000000,219000000,-179000000,-1479000000,336000000,-416000000
stockBasedCompensation,4652000000,3940000000,3266000000,2668000000,2574000000,2446000000,2406000000,2244000000,2166000000,1891000000,1708000000,1479000000,1550000000,1715000000,2448000000,5734000000,0,0
changeInWorkingCapital,-5042000000,15850000000,15021000000,5449000000,6233000000,4572000000,11653000000,6252000000,16615000000,7283000000,8890000000,-3058000000,-10154000000,-5292000000,-23737000000,10598000000,9167000000,0
accountsReceivables,-2812000000,-3862000000,-925000000,-530000000,1456000000,-1120000000,-1807000000,-1156000000,-1451000000,-2238000000,2215000000,-1569000000,-1764000000,-2071000000,-1243000000,-687000000,187000000,-1623000000
inventory,597000000,-465000000,50000000,600000000,-272000000,-161000000,-802000000,184000000,-561000000,0,0,0,0,0,0,0,0,0
accountsPayables,232000000,1148000000,81000000,88000000,-1054000000,473000000,537000000,-31000000,58000000,0,0,0,0,0,0,0,0,0
otherWorkingCapital,106132000000,111174000000,95324000000,80303000000,74854000000,68621000000,64049000000,52396000000,46144000000,29529000000,22246000000,13356000000,16414000000,26568000000,31860000000,55597000000,44999000000,35832000000
otherNonCashItems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netCashProvidedByOperatingActivities,52185000000,43884000000,39507000000,33325000000,29080000000,32231000000,28833000000,31626000000,26994000000,24073000000,0,0,0,0,0,0,0,0
investmentsInPropertyPlantAndEquipment,-13925000000,-11632000000,-8129000000,-8343000000,-5944000000,-5485000000,-4257000000,-2305000000,-2355000000,-1977000000,-3119000000,-3182000000,-2264000000,-1578000000,-812000000,-1109000000,-891000000,-770000000
acquisitionsNet,-2388000000,-888000000,-25944000000,-1393000000,-3723000000,-5937000000,-1584000000,-10112000000,-71000000,-245000000,-868000000,-8053000000,-1150000000,-649000000,-207000000,-4000000,-1063000000,0
purchasesOfInvestments,-19543000000,-10721000000,-11788000000,-15969000000,-14443000000,-7316000000,-5360000000,-5029000000,-47548000000,-41437000000,-36850000000,-20954000000,-36308000000,-51117000000,-68045000000,-92495000000,-89621000000,-89386000000
salesMaturitiesOfInvestments,20043000000,26360000000,28044000000,22054000000,15013000000,5272000000,5130000000,15575000000,6897000000,7453000000,0,0,0,0,0,0,0,0
otherInvestingActivites,-75000000,-9130000000,-28945000000,-20366000000,-13977000000,-5506000000,-17748000000,-23019000000,28461000000,24892000000,0,0,0,0,0,0,0,0
netCashUsedForInvestingActivites,-15888000000,-6011000000,-46762000000,-24017000000,-23074000000,-18972000000,-23819000000,-24890000000,-14616000000,-11314000000,0,0,0,0,0,0,0,0
debtRepayment,-4000000000,-2736000000,-2959000000,-9991000000,-5981000000,-4388000000,-1346000000,0,186000000,991000000,-228000000,0,0,0,0,0,0,0
commonStockIssued,1142000000,1002000000,772000000,668000000,634000000,607000000,931000000,1913000000,2422000000,2311000000,0,0,0,0,0,0,0,0
commonStockRepurchased,-19543000000,-10721000000,-11788000000,-15969000000,-14443000000,-7316000000,-5360000000,-5029000000,-11555000000,-11269000000,-9353000000,-12533000000,-27575000000,-19207000000,-8057000000,-3383000000,-6486000000,-6069000000
dividendsPaid,-13811000000,-12699000000,-11845000000,-11006000000,-9882000000,-8879000000,-7455000000,-6385000000,-5180000000,-4578000000,-4468000000,-4015000000,-3805000000,-3545000000,-36112000000,-1729000000,-857000000,0
otherFinancingActivites,-675000000,-8436000000,34228000000,27905000000,20592000000,11582000000,5082000000,93000000,5751000000,-746000000,0,0,0,0,0,0,0,0
netCashUsedProvidedByFinancingActivities,-36887000000,-33590000000,8408000000,-8393000000,-9080000000,-8394000000,-8148000000,-9408000000,-8376000000,-13291000000,0,0,0,0,0,0,0,0
effectOfForexChangesOnCash,-115000000,50000000,19000000,-67000000,-73000000,-139000000,-8000000,-104000000,103000000,-39000000,0,0,0,0,0,0,0,0
netChangeInCash,-590000000,4283000000,1153000000,915000000,-3074000000,4865000000,-3134000000,-2672000000,4105000000,-571000000,0,0,0,0,0,0,0,0
cashAtEndOfPeriod,11356000000,11946000000,7663000000,6510000000,5595000000,8669000000,3804000000,6938000000,9610000000,5505000000,6076000000,10339000000,6111000000,6714000000,4851000000,15982000000,6438000000,3016000000
cashAtBeginningOfPeriod,11946000000,7663000000,6510000000,5595000000,8669000000,3804000000,6938000000,9610000000,5505000000,6076000000,10339000000,6111000000,6714000000,4851000000,14304000000,6438000000,3016000000,3922000000
operatingCashFlow,52185000000,43884000000,39507000000,33325000000,29080000000,32231000000,28833000000,31626000000,26994000000,24073000000,0,0,0,0,0,0,0,0
capitalExpenditure,13925000000,11632000000,8129000000,8343000000,5944000000,5485000000,4257000000,2305000000,2355000000,1977000000,3119000000,3182000000,2264000000,1578000000,812000000,1109000000,891000000,770000000
freeCashFlow,38260000000,32252000000,31378000000,24982000000,23136000000,26746000000,24576000000,29321000000,24639000000,22096000000,-3119000000,-3182000000,-2264000000,-1578000000,-812000000,-1109000000,-891000000,-770000000
link,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/0001193125-11-200680-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/0001193125-10-171791-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/0001193125-08-162768-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/0001193125-07-170817-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/0001193125-06-180008-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/0001193125-05-174825-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/0001193125-04-150689-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/0001193125-03-045632-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/0001032210-02-001351-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/d187868d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/d918813d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/d722626d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/d527745d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/d347676d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/d10k.htm
