,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30,2004-06-30,2003-06-30,2002-06-30
symbol,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
fillingDate,2019-08-01,2018-08-03,2017-08-02,2016-07-28,2015-07-31,2014-07-31,2013-07-30,2012-07-26,2011-07-28,2010-07-30,2009-07-30,2008-07-31,2007-08-03,2006-08-25,2005-08-26,2004-09-01,2003-09-05,2002-09-06
acceptedDate,2019-08-01 16:09:55,2018-08-03 11:03:33,2017-08-02 16:15:01,2016-07-28 16:12:18,2015-07-31 15:07:52,2014-07-31 17:16:52,2013-07-30 16:14:49,2012-07-26 16:12:48,2011-07-28 14:59:09,2010-07-30 11:30:38,2009-07-30 06:05:07,2008-07-31 17:23:18,2007-08-03 17:13:48,2006-08-25 17:13:53,2005-08-25 19:59:54,2004-09-01 17:03:00,2003-09-04 19:42:47,2002-09-05 20:20:11
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenue,125843000000,110360000000,89950000000,85320000000,93580000000,86833000000,77849000000,73723000000,69943000000,62484000000,58437000000,60420000000,51122000000,44282000000,39788000000,36835000000,32187000000,28365000000
costOfRevenue,42910000000,38353000000,34261000000,32780000000,33038000000,26934000000,20249000000,17530000000,15577000000,12395000000,12155000000,11598000000,10693000000,7650000000,6200000000,6716000000,5686000000,5191000000
grossProfit,82933000000,72007000000,55689000000,52540000000,60542000000,59899000000,57600000000,56193000000,54366000000,50089000000,46282000000,48822000000,40429000000,36632000000,33588000000,30119000000,26501000000,23174000000
grossProfitRatio,0.659019572006,0.652473722363,0.619110617009,0.615799343647,0.646954477452,0.689818387019,0.73989389716,0.762218032364,0.777290079064,0.80162921708,0.7919982203056283,0.808043694141013,0.790833691952584,0.8272435752676031,0.8441741228511109,0.8176734084430569,0.8233448286575326,0.8169927727833598
researchAndDevelopmentExpenses,16876000000,14726000000,13037000000,11988000000,12046000000,11381000000,10411000000,9811000000,9043000000,8714000000,9010000000,8164000000,7121000000,6584000000,6184000000,7779000000,4659000000,4307000000
generalAndAdministrativeExpenses,4885000000,4754000000,4481000000,4563000000,4611000000,4821000000,5149000000,4569000000,4222000000,4004000000,3700000000,5127000000,3329000000,3758000000,4166000000,4997000000,2104000000,1550000000
sellingAndMarketingExpenses,18213000000,17469000000,15539000000,14697000000,15713000000,15811000000,15276000000,13857000000,13940000000,13214000000,12879000000,13039000000,11455000000,9818000000,8677000000,8309000000,6521000000,5407000000
otherExpenses,0,1416000000,823000000,-431000000,10011000000,127000000,0,23723000000,15577000000,12454000000,12485000000,11598000000,10693000000,7650000000,6200000000,6716000000,5686000000,5191000000
operatingExpenses,39974000000,36949000000,33057000000,31248000000,42381000000,32140000000,30836000000,28237000000,27205000000,25932000000,38074000000,37928000000,32598000000,27810000000,25227000000,27801000000,18970000000,16455000000
costAndExpenses,82884000000,75302000000,67318000000,64028000000,75419000000,59074000000,51085000000,51960000000,42782000000,38386000000,50229000000,49526000000,43291000000,35460000000,31427000000,34517000000,24656000000,21646000000
interestExpense,2686000000,2733000000,2222000000,1243000000,781000000,597000000,429000000,380000000,295000000,151000000,0,0,0,0,0,0,0,0
depreciationAndAmortization,11682000000,10261000000,8778000000,6622000000,5957000000,5212000000,3755000000,2967000000,2766000000,2673000000,2562000000,2056000000,1440000000,903000000,855000000,1186000000,1439000000,1084000000
ebitda,54641000000,45319000000,31104000000,26804000000,24118000000,32971000000,30519000000,24730000000,29927000000,26771000000,22925000000,24548000000,19964000000,17375000000,15416000000,10220000000,14656000000,12994000000
ebitdaratio,0.43419975684,0.410646973541,0.345792106726,0.31415846226,0.257726009831,0.379705872191,0.392028157073,0.335444840823,0.427876985545,0.428445682095,0.3923028218423259,0.40628930817610065,0.39051680294198193,0.3923716182647577,0.3874535035689152,0.2774535088910004,0.4553391120638767,0.45809977084435044
operatingIncome,42959000000,35058000000,22326000000,20182000000,18161000000,27759000000,26764000000,21763000000,27161000000,24098000000,20363000000,22492000000,18524000000,16472000000,14561000000,9034000000,13217000000,11910000000
operatingIncomeRatio,0.341369802055,0.317669445451,0.248204558088,0.236544772621,0.194069245565,0.319682609146,0.343793754576,0.295199598497,0.388330497691,0.385666730683,0.348460735492924,0.37226084078119825,0.3623488908884629,0.37197958538458065,0.3659646124459636,0.24525587077507804,0.410631621462081,0.41988365943945005
totalOtherIncomeExpensesNet,729000000,1416000000,823000000,-431000000,346000000,61000000,288000000,504000000,910000000,915000000,-542000000,1322000000,1577000000,1790000000,2067000000,0,0,0
incomeBeforeTax,15799000000,11527000000,453000000,-325000000,7363000000,7127000000,6674000000,1600000000,28071000000,25013000000,19821000000,23814000000,20101000000,18262000000,16628000000,12196000000,14726000000,11513000000
incomeBeforeTaxRatio,0.125545322346,0.104449075752,0.00503613118399,-0.00380918893577,0.0786813421671,0.0820770905071,0.0857300671813,0.0217028607083,0.401341092032,0.400310479483,0.3391857898249397,0.39414101290963255,0.39319666679707366,0.4124023305180434,0.41791494923092387,0.33109814035564,0.4575139031285923,0.40588753745813505
incomeTaxExpense,4448000000,19903000000,1945000000,2953000000,6314000000,5746000000,5189000000,5289000000,4921000000,6253000000,5252000000,6133000000,6036000000,5663000000,4374000000,4028000000,4733000000,3684000000
netIncome,39240000000,16571000000,21204000000,16798000000,12193000000,22074000000,21863000000,16978000000,23150000000,18760000000,14569000000,17681000000,14065000000,12599000000,12254000000,8168000000,9993000000,7829000000
netIncomeRatio,0.311817105441,0.150154041319,0.235730961645,0.196882325363,0.130294934815,0.2542121083,0.280838546417,0.230294480691,0.330983801095,0.300236860636,0.24931122405325393,0.29263488910956637,0.2751261687727397,0.28451741113770834,0.3079823062229818,0.2217456223700285,0.3104669587100382,0.2760091662259827
eps,5.11,2.15,2.74,2.12,1.49,2.66,2.61,2.02,2.73,2.13,1.63,1.9,1.44,1.21,1.13,0.76,0.93,1.45
epsdiluted,5.06,2.13,2.71,2.1,1.48,2.63,2.58,2.0,2.69,2.1,1.62,1.87,1.42,1.2,1.12,0.75,0.93,1.45
weightedAverageShsOut,7673000000,7700000000,7746000000,7925000000,8177000000,8299000000,8375000000,8396000000,8490000000,8813000000,8945000000,9328000000,9742000000,10438000000,10839000000,10803000000,10723000000,5406000000
weightedAverageShsOutDil,7753000000,7794000000,7832000000,8013000000,8254000000,8399000000,8470000000,8506000000,8593000000,8927000000,8996000000,9470000000,9886000000,10531000000,10906000000,10894000000,10882000000,5553000000
link,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/0001193125-11-200680-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/0001193125-10-171791-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/0001193125-08-162768-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/0001193125-07-170817-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/0001193125-06-180008-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/0001193125-05-174825-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/0001193125-04-150689-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/0001193125-03-045632-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/0001032210-02-001351-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/d187868d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/d918813d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/d722626d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/d527745d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/d347676d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/d10k.htm,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/d10k.htm
